horodate,prediction_kwh,pdl_id,segment,modele
2024-10-31 16:30:00+00:00,0.3828468,1704875583,RS,ridge_residual
2024-10-31 17:00:00+00:00,0.44202676,1704875583,RS,ridge_residual
2024-10-31 17:30:00+00:00,0.581033,1704875583,RS,ridge_residual
2024-10-31 18:00:00+00:00,0.5644754,1704875583,RS,ridge_residual
2024-10-31 18:30:00+00:00,0.51237595,1704875583,RS,ridge_residual
2024-10-31 19:00:00+00:00,0.38641453,1704875583,RS,ridge_residual
2024-10-31 19:30:00+00:00,0.4171208,1704875583,RS,ridge_residual
2024-10-31 20:00:00+00:00,0.3468581,1704875583,RS,ridge_residual
2024-10-31 20:30:00+00:00,0.33981872,1704875583,RS,ridge_residual
2024-10-31 21:00:00+00:00,0.38361436,1704875583,RS,ridge_residual
2024-10-31 21:30:00+00:00,0.6474421,1704875583,RS,ridge_residual
2024-10-31 22:00:00+00:00,0.48579413,1704875583,RS,ridge_residual
2024-10-31 22:30:00+00:00,0.36837736,1704875583,RS,ridge_residual
